gene_id,gc_content,gene_name
ENSG00000210049.1,40.85,MT-TF
ENSG00000211459.2,45.49,MT-RNR1
ENSG00000210077.1,42.03,MT-TV
ENSG00000210082.2,42.81,MT-RNR2
ENSG00000209082.1,38.67,MT-TL1
ENSG00000198888.2,47.70,MT-ND1
ENSG00000210100.1,28.99,MT-TI
ENSG00000210107.1,48.61,MT-TQ
ENSG00000210112.1,45.59,MT-TM
ENSG00000198763.3,42.99,MT-ND2
ENSG00000210117.1,35.29,MT-TW
ENSG00000210127.1,43.48,MT-TA
ENSG00000210135.1,41.10,MT-TN
ENSG00000210140.1,45.45,MT-TC
ENSG00000210144.1,42.42,MT-TY
ENSG00000198804.2,46.24,MT-CO1
ENSG00000210151.2,49.28,MT-TS1
ENSG00000210154.1,23.53,MT-TD
ENSG00000198712.1,46.20,MT-CO2
ENSG00000210156.1,32.86,MT-TK
ENSG00000228253.1,39.61,MT-ATP8
ENSG00000198899.2,44.20,MT-ATP6
ENSG00000198938.2,46.56,MT-CO3
ENSG00000210164.1,26.47,MT-TG
ENSG00000198840.2,40.17,MT-ND3
ENSG00000210174.1,23.08,MT-TR
ENSG00000212907.2,43.10,MT-ND4L
ENSG00000198886.2,44.27,MT-ND4
ENSG00000210176.1,36.23,MT-TH
ENSG00000210184.1,45.76,MT-TS2
ENSG00000210191.1,35.21,MT-TL2
ENSG00000198786.2,44.92,MT-ND5
ENSG00000198695.2,42.67,MT-ND6
ENSG00000210194.1,39.13,MT-TE
ENSG00000198727.2,46.28,MT-CYB
ENSG00000210195.2,37.88,MT-TT
ENSG00000210196.2,33.82,MT-TP
ENSG00000278457.1,58.82,5S_rRNA
ENSG00000275151.1,39.89,
ENSG00000271254.7,44.36,
ENSG00000280663.4,44.58,PCMTD2
ENSG00000262826.5,48.32,INTS3
ENSG00000278704.1,47.38,
ENSG00000273947.5,48.02,KIR2DL3
ENSG00000278294.1,51.32,5_8S_rRNA
ENSG00000279969.1,32.83,
ENSG00000276779.1,47.93,KIR2DL4
ENSG00000274882.4,34.93,LINC02109
ENSG00000273735.4,48.88,KIR3DL2
ENSG00000275717.5,48.47,KIR3DL1
ENSG00000276379.1,54.23,KIR3DL1
ENSG00000276433.1,48.87,KIR3DL3
ENSG00000277995.1,35.65,
ENSG00000275442.4,44.33,LILRP2
ENSG00000274692.1,48.32,KIR2DL1
ENSG00000277484.5,48.04,KIR2DL3
ENSG00000276970.1,49.12,
ENSG00000275062.1,48.98,KIR3DL3
ENSG00000277921.1,56.23,LILRP1
ENSG00000277554.5,48.08,KIR2DL3
ENSG00000277272.5,48.43,KIR3DL1
ENSG00000277044.3,60.52,OPRL1
ENSG00000278074.1,48.01,KIR2DL4
ENSG00000277339.2,62.65,NPBWR2
ENSG00000274807.4,48.98,KIR2DS4
ENSG00000280695.1,53.83,
ENSG00000274714.1,49.08,KIR2DS4
ENSG00000276876.4,54.58,MYT1
ENSG00000277334.4,50.00,NCR1
ENSG00000276885.1,48.55,KIR2DS4
ENSG00000273575.4,48.05,KIR2DL4
ENSG00000275786.5,48.46,KIR3DL1
ENSG00000276518.1,45.38,KIR3DP1
ENSG00000275237.4,48.05,KIR2DL4
ENSG00000278152.2,47.78,KIR2DS2
ENSG00000277982.4,47.10,KIR3DL2
ENSG00000277267.4,44.33,LILRP2
ENSG00000273510.1,48.28,KIR2DL1
ENSG00000274324.1,49.13,KIR2DS4
ENSG00000276423.6,48.44,KIR3DL1
ENSG00000276534.5,48.41,KIR3DS1
ENSG00000274130.1,54.23,
ENSG00000276820.1,48.50,KIR2DL1
ENSG00000278731.5,48.11,KIR2DL2
ENSG00000278306.1,48.77,KIR2DS3
ENSG00000277620.1,48.97,KIR3DL3
ENSG00000280538.1,43.46,
ENSG00000281806.1,42.31,
ENSG00000275732.4,48.10,KIR2DL4
ENSG00000281362.1,44.05,LINC01115
ENSG00000274948.5,48.46,KIR3DL1
ENSG00000276858.4,47.88,FCAR
ENSG00000276328.1,49.00,KIR3DL3
ENSG00000274696.2,48.06,KIR3DL3
ENSG00000275407.1,48.15,KIR2DL2
ENSG00000278805.1,48.43,KIR2DL1
ENSG00000277345.1,49.15,KIR2DS4
ENSG00000275422.1,48.82,
ENSG00000275914.5,48.16,KIR2DL2
ENSG00000276424.4,47.13,KIR3DL2
ENSG00000277616.1,48.31,KIR2DL1
ENSG00000277185.1,49.14,
ENSG00000273526.1,48.96,KIR2DS4
ENSG00000278207.1,48.38,KIR2DL1
ENSG00000275433.1,48.22,KIR3DL3
ENSG00000277650.1,48.87,KIR2DS5
ENSG00000273738.4,47.46,FCAR
ENSG00000277725.5,48.21,KIR2DL2
ENSG00000273661.5,48.17,KIR2DL2
ENSG00000276044.4,48.05,KIR2DL4
ENSG00000274271.1,56.23,LILRP1
ENSG00000274722.4,47.05,KIR3DL2
ENSG00000275018.6,51.51,
ENSG00000274676.1,49.32,KIR2DL5A
ENSG00000274163.1,49.26,KIR3DP1
ENSG00000274842.4,44.33,LILRP2
ENSG00000274406.1,49.12,KIR2DS4
ENSG00000273670.1,56.23,LILRP1
ENSG00000274476.1,49.15,KIR2DP1
ENSG00000276501.5,48.46,KIR3DL1
ENSG00000277355.4,48.10,KIR2DL4
ENSG00000275276.1,48.43,KIR2DL1
ENSG00000277456.1,54.23,
ENSG00000278606.4,48.07,KIR2DL4
ENSG00000274782.1,48.40,KIR2DL1
