gene_id,gene_name,gc_content
ENSG00000227232.5,WASH7P,54.43
ENSG00000278267.1,MIR6859-1,61.76
ENSG00000243485.5,MIR1302-2HG,48.84
ENSG00000284332.1,MIR1302-2,31.16
ENSG00000237613.2,FAM138A,50.26
ENSG00000268020.3,OR4G4P,37.74
ENSG00000233750.3,CICP27,59.71
ENSG00000222623.1,RNU6-1100P,39.42
ENSG00000279457.4,WASH9P,56.54
ENSG00000273874.1,MIR6859-2,61.76
ENSG00000236679.2,RPL23AP24,50.39
ENSG00000269732.1,WBP1LP7,50.96
ENSG00000233653.3,CICP7,61.69
ENSG00000278757.1,U6,39.42
ENSG00000225972.1,MTND1P23,44.35
ENSG00000225630.1,MTND2P28,43.1
ENSG00000237973.1,MTCO1P12,45.76
ENSG00000229344.1,MTCO2P12,45.31
ENSG00000240409.1,MTATP8P1,38.16
ENSG00000248527.1,MTATP6P1,43.91
ENSG00000198744.5,MTCO3P12,48.26
ENSG00000268663.1,WBP1LP6,51.18
ENSG00000229376.3,CICP3,61.45
ENSG00000223181.1,RNU6-1199P,39.42
ENSG00000237491.10,LINC01409,40.44
ENSG00000177757.2,FAM87B,48.52
ENSG00000230368.2,FAM41C,48.14
ENSG00000234711.1,TUBB8P11,55.39
ENSG00000223764.2,LINC02593,61.68
ENSG00000188976.11,NOC2L,59.54
ENSG00000187583.11,PLEKHN1,62.65
ENSG00000188290.11,HES4,74.32
ENSG00000187608.10,ISG15,56.44
ENSG00000188157.15,AGRN,65.71
ENSG00000237330.3,RNF223,65.48
ENSG00000131591.18,C1orf159,54.65
ENSG00000223823.1,LINC01342,65
ENSG00000207730.3,MIR200B,60
ENSG00000207607.3,MIR200A,55.56
ENSG00000198976.1,MIR429,57.83
ENSG00000205231.1,TTLL10-AS1,61.03
ENSG00000162571.14,TTLL10,54.75
ENSG00000186891.14,TNFRSF18,67.46
ENSG00000176022.7,B3GALT6,64.21
ENSG00000184163.3,C1QTNF12,69.35
ENSG00000160087.21,UBE2J2,56.31
ENSG00000230415.1,LINC01786,50.06
ENSG00000162572.21,SCNN1D,65.93
ENSG00000131584.19,ACAP3,67.29
ENSG00000278073.1,MIR6726,70.49
ENSG00000169972.12,PUSL1,66.6
ENSG00000283712.1,MIR6727,72.31
ENSG00000224051.7,CPTP,65.25
ENSG00000169962.5,TAS1R3,66.64
ENSG00000284372.1,MIR6808,69.49
ENSG00000162576.17,MXRA8,65.3
ENSG00000223663.2,NDUFB4P8,48.77
ENSG00000242485.6,MRPL20,53.02
ENSG00000264293.2,RN7SL657P,54.61
ENSG00000272455.1,MRPL20-DT,49.44
ENSG00000225285.1,LINC01770,66.84
ENSG00000179403.12,VWA1,66.36
ENSG00000215915.10,ATAD3C,56.97
ENSG00000160072.20,ATAD3B,58.83
ENSG00000197785.14,ATAD3A,59.87
ENSG00000205090.9,TMEM240,66.8
ENSG00000160075.12,SSU72,53.86
ENSG00000228594.4,FNDC10,70.72
ENSG00000189409.14,MMP23B,70.33
ENSG00000248333.9,CDK11B,51.91
ENSG00000189339.12,SLC35E2B,53.57
ENSG00000215914.4,MMP23A,72.13
ENSG00000008128.23,CDK11A,52.05
ENSG00000008130.15,NADK,53.7
ENSG00000169885.10,CALML6,63.13
ENSG00000178821.13,TMEM52,67.4
ENSG00000187730.9,GABRD,62.51
ENSG00000067606.17,PRKCZ,56.45
ENSG00000182873.5,PRKCZ-AS1,57.78
ENSG00000162585.17,FAAP20,60.96
ENSG00000116151.14,MORN1,57.29
ENSG00000157916.20,RER1,53.96
ENSG00000157911.11,PEX10,61.52
ENSG00000149527.18,PLCH2,64.61
ENSG00000157881.16,PANK4,60.69
ENSG00000197921.6,HES5,68.47
ENSG00000238164.6,TNFRSF14-AS1,62.87
ENSG00000157870.17,PRXL2B,64.59
ENSG00000142606.16,MMEL1,54.95
ENSG00000237058.1,MMEL1-AS1,59.71
ENSG00000169717.7,ACTRT2,61.66
ENSG00000142611.17,PRDM16,57.58
ENSG00000283572.1,MIR4251,50.82
ENSG00000130762.15,ARHGEF16,62.91
ENSG00000207776.1,MIR551A,61.46
ENSG00000158109.15,TPRG1L,52.16
ENSG00000116213.16,WRAP73,55.25
ENSG00000078900.15,TP73,59.52
ENSG00000227589.1,TP73-AS3,48.83
ENSG00000235131.1,TP73-AS2,59.84
ENSG00000227372.12,TP73-AS1,54.46
ENSG00000162592.10,CCDC27,53.23
ENSG00000235169.11,SMIM1,65.06
ENSG00000130764.10,LRRC47,54.7
ENSG00000266075.2,RN7SL574P,58.59
ENSG00000116198.14,CEP104,48
ENSG00000169598.17,DFFB,51.66
ENSG00000233304.7,LINC01346,51.6
ENSG00000226374.3,LINC01345,55.23
ENSG00000284668.2,LINC02780,52.11
ENSG00000229280.1,EEF1DP6,56.99
ENSG00000235054.4,LINC01777,43.57
ENSG00000232596.3,LINC01646,44.37
ENSG00000196581.11,AJAP1,52.4
ENSG00000284674.1,LINC02781,49.79
ENSG00000231510.1,LINC02782,41
ENSG00000264101.1,MIR4689,62.86
ENSG00000131697.18,NPHP4,49.94
ENSG00000116254.18,CHD5,56.75
ENSG00000116251.11,RPL22,50.8
ENSG00000226944.1,RNF207-AS1,58.13
ENSG00000158286.13,RNF207,57.32
ENSG00000116237.16,ICMT,49.59
ENSG00000173673.8,HES3,65.79
ENSG00000158292.7,GPR153,60.53
ENSG00000097021.20,ACOT7,53.97
ENSG00000069812.11,HES2,57.51
ENSG00000265392.1,MIR4252,65.08
ENSG00000215788.11,TNFRSF25,59.74
ENSG00000171680.23,PLEKHG5,58.77
ENSG00000162408.11,NOL9,47.77
ENSG00000253022.1,RNU6-731P,37.84
ENSG00000173662.21,TAS1R1,52.47
ENSG00000204859.13,ZBTB48,57.77
ENSG00000116273.6,PHF13,54.94
ENSG00000228750.7,LINC01672,48.21
ENSG00000237436.1,CAMTA1-DT,59.77
ENSG00000207056.1,RNU1-8P,52.12
ENSG00000237402.1,CAMTA1-IT1,52.45
ENSG00000237728.2,CAMTA1-AS2,53.05
ENSG00000225126.1,CAMTA1-AS1,48.15
ENSG00000049245.13,VAMP3,42.69
ENSG00000049247.14,UTS2,40.81
ENSG00000116288.13,PARK7,45.41
ENSG00000200344.1,Y_RNA,42.72
ENSG00000116285.13,ERRFI1,42.8
